,Date,Invitations issued,CRS score of lowest-ranked candidate invited,Programs covered,Province,Latitude,Longitude
0,20-Jan-22,374,741,Provincial Nominee Class,Nova Scotia,45,-63
1,07-Jan-22,4750,461,Canadian Experience Class,Alberta,55,-115
2,06-Jan-22,250,813,Provincial Nominee Program,Saskatchewan,55,-106
3,23-Dec-21,5000,468,Federal Skilled Worker Program,Ontario,50,-85
4,09-Dec-21,5000,469,Federal Skilled Worker Program,Saskatchewan,55,-106
5,25-Nov-21,5000,469,Federal Skilled Worker Program,Nova Scotia,45,-63
6,18-Nov-21,5000,472,Federal Skilled Worker Program,Alberta,55,-115
7,05-Nov-21,4500,478,Primary Agriculture,Saskatchewan,55,-106
8,14-Oct-21,4500,471,Federal Skilled Worker Program,Ontario,50,-85
9,30-Sep-21,4200,471,Occupations in Support of Health Services,Nova Scotia,45,-63
10,16-Sep-21,4200,472,Federal Skilled Worker Program,Ontario,50,-85
11,02-Sep-21,4200,475,Federal Skilled Worker Program,Ontario,50,-85
12,20-Aug-21,3300,454,Canadian Experience Class,Saskatchewan,55,-106
13,19-Aug-21,600,771,Provincial Nominee Program,British Columbia,53.726669,-127.647621
14,06-Aug-21,250,415,Federal Skilled Trades,Alberta,55,-115
15,05-Aug-21,3900,476,Federal Skilled Worker Program,British Columbia,53.726669,-127.647621
16,23-Jul-21,3343,445,Canadian Experience Class,Ontario,50,-85
17,22-Jul-21,557,687,Provincial Nominee Program,Nova Scotia,45,-63
18,08-Jul-21,3900,478,Federal Skilled Worker Program,New Brunswick,46.49839,-66.159668
19,25-Jun-21,3508,431,Canadian Experience Class,Ontario,50,-85
20,24-Jun-21,392,696,Provincial Nominee Program,New Brunswick,46.49839,-66.159668
21,11-Jun-21,3559,437,Canadian Experience Class,British Columbia,53.726669,-127.647621
22,10-Jun-21,341,743,Provincial Nominee Program,Saskatchewan,55,-106
23,28-May-21,NA,440,Canadian Experience Class,Prince Edward Island,46.25,-63
24,27-May-21,385,757,Provincial Nominee Program,Ontario,50,-85
25,14-May-21,3371,447,Canadian Experience Class,British Columbia,53.726669,-127.647621
26,13-May-21,529,718,Provincial Nominee Program,Nova Scotia,45,-63
27,30-Apr-21,3311,452,Canadian Experience Class,Manitoba,56.415211,-98.739075
28,29-Apr-21,589,692,Provincial Nominee Program,Ontario,50,-85
29,16-Apr-21,3782,455,Canadian Experience Class,New Brunswick,46.49839,-66.159668
